description,category,severity,safety_risk
"Гола жица паднала на ул. Македонија бр.128, деца играат близу, ИТНО!!!",ELECTRICAL,CRITICAL,True
"Cannot log in to system, authentication error 403 for all users",SOFTWARE,HIGH,False
Струјата исклучена во повеќе блокови во Ѓорче Петров – 10 семејства засегнати,ELECTRICAL,HIGH,False
Slightly higher meter reading than usual this month,ELECTRICAL,LOW,False
"Fire visible near power line on Скупи, unidentified origin, please send crew",OTHER,CRITICAL,True
"Жицата прави мал звук при ветер, обично е тивка",MECHANICAL,LOW,False
Animal (куче?) found stuck near transformer at Чаир,OTHER,MEDIUM,False
Fault list only shows 10 rows regardless of filter settings,SOFTWARE,MEDIUM,False
"Жицата скинала по ветерот, виси многу ниско над Скупи – опасно!",MECHANICAL,CRITICAL,False
"Кабелот во подрумот е ороден, треба замена",ELECTRICAL,MEDIUM,False
Voltage drops whenever using heavy appliances on Македонија,ELECTRICAL,MEDIUM,False
"Downed live wire on Максим Горки, sparks flying, pedestrians close by, URGENT",ELECTRICAL,CRITICAL,True
Чуден силен звук од трафото ТС Влае – непознат извор,OTHER,HIGH,False
"По невремето синоќа, струјата не се вратила во Шуто Оризари",ELECTRICAL,HIGH,False
No electricity in apartment on Скупи number 105,ELECTRICAL,MEDIUM,False
"Чад и пламен излегуваат од ел. ормарот во деловниот објект на Гоце Делчев, ИТНО!",ELECTRICAL,CRITICAL,True
"Жица виси ниско над улицата Гоце Делчев, опасно за сообраќај",MECHANICAL,HIGH,False
PDF export produces a blank document every time,SOFTWARE,MEDIUM,False
Трудница падна поради лоша тротоарска плоча до столб на Питу Гули,OTHER,HIGH,False
"Meter sync delay, minor and intermittent",NETWORK,LOW,False
"При прикачување фото на пријавата, апликацијата паѓа",SOFTWARE,MEDIUM,False
"Customer portal freezes on the submit button, cannot file reports",SOFTWARE,MEDIUM,False
"Transformer vibrating slightly more than usual, low concern",MECHANICAL,LOW,False
"Не сум сигурен дека ова е проблем, но пријавувам – чуден звук",OTHER,LOW,False
"Neighbours complaining about noise, unsure of source",OTHER,MEDIUM,False
"Бројачот бројач 4471203 не синхронизирал 1 дена, ситница",NETWORK,LOW,False
"Неколку приклучоци мртви во станот, останатите работат",ELECTRICAL,MEDIUM,False
"Fallen pole landed on car on Питу Гули, wire energized, call emergency now",MECHANICAL,CRITICAL,True
"Sparks observed near cable box on Даме Груев, source unclear",OTHER,HIGH,True
Voltage drops whenever using heavy appliances on Мито Хаџивасилев,ELECTRICAL,MEDIUM,False
Голема искра од трафо станицата ТС Аеродром на ул. Орце Николов,ELECTRICAL,HIGH,True
Датумот во извештајот е во погрешен формат,SOFTWARE,LOW,False
"Непознат предмет фрлен на жиците на Ѓуро Стругар, виси и се заканува молам брзо!",OTHER,HIGH,False
Бројачот покажува малку повисока потрошувачка овој месец,ELECTRICAL,LOW,False
"Комуникациски проблем со SCADA, повеќе уреди недостапни",NETWORK,HIGH,False
Системот за SCADA паднал – диспечерите не можат да работат!,SOFTWARE,CRITICAL,False
"Не сум сигурен дека ова е проблем, но пријавувам – чуден звук",OTHER,LOW,False
Чуден мирис попладне кај трансформаторот – не знам причина,OTHER,MEDIUM,False
Апликацијата за пријавување дефекти падна по ажурирањето,SOFTWARE,HIGH,False
Registration confirmation email not being sent to users,SOFTWARE,MEDIUM,False
"Бројачот бројач 9920145 не синхронизирал 18 дена, ситница",NETWORK,LOW,False
Повеќе паметни бројачи во Кисела Вода не испраќаат податоци,NETWORK,HIGH,False
"Прекинувачот во гаражата паднал, не е голем проблем",ELECTRICAL,LOW,False
"Стар кабел видлив на Партизанска, не знам дали е под напон",OTHER,MEDIUM,True
"Cable box door broken, wiring exposed inside",MECHANICAL,MEDIUM,False
"Neighbourhood Ѓорче Петров without power for 10 hours, no update",ELECTRICAL,HIGH,False
"Вандализам на знакот кај трафостаницата – само боја, нема штета",OTHER,LOW,False
"One flickering lamp on Орце Николов, nothing urgent",ELECTRICAL,LOW,False
Покривот ми го оштетил кабелот при реновирање,MECHANICAL,MEDIUM,False
"Graffiti on sign near substation, just paint, no structural damage",OTHER,LOW,False
Crisis management application unavailable during active incident,SOFTWARE,CRITICAL,False
"Нешто изгледа различно кај ормарот на Максим Горки, не знам точно",OTHER,LOW,False
"Map view stuck on loading spinner, never loads",SOFTWARE,MEDIUM,False
No electricity in apartment on Кочо Рацин number 78,ELECTRICAL,MEDIUM,False
Бројачот покажува малку повисока потрошувачка овој месец,ELECTRICAL,LOW,False
Cable bracket damaged on pole on Македонија,MECHANICAL,MEDIUM,False
"Нешто виси на жицата, изгледа пластична торба",MECHANICAL,LOW,False
Сензорот F-771 имаше неколку исклучувања синоќа,NETWORK,MEDIUM,False
Transformer casing visibly cracked on Питу Гули,MECHANICAL,MEDIUM,False
Power outage in single building since since noon,ELECTRICAL,MEDIUM,False
"Cable box door broken, wiring exposed inside",MECHANICAL,MEDIUM,False
"Гулаб направил гнездо во ормарот, дали е проблем?",OTHER,MEDIUM,False
"Чад и пламен излегуваат од ел. ормарот во зградата на Страшо Пинџур, ИТНО!",ELECTRICAL,CRITICAL,True
"One socket dead in apartment, all others fine",ELECTRICAL,LOW,False
"Детето ми рекло дека видело искра кај ормарот, но не сум сигурен",OTHER,MEDIUM,True
"Жица паднала на playground во Кисела Вода, деца евакуирани, ИТНО!!!",MECHANICAL,CRITICAL,False
Покривот ми го оштетил кабелот при реновирање,MECHANICAL,MEDIUM,False
Апликацијата е малку побавна отколку обично уште од вчера,SOFTWARE,LOW,False
"Чад излегува од подземен кабел на Борис Кидрич, ве молам проверете!",OTHER,HIGH,True
"Live wire on road after storm near Нерези, traffic stopped",MECHANICAL,HIGH,True
"Something hanging from wire near Бутел, looks like a bag",MECHANICAL,LOW,False
Преводот на македонски е погрешен на некои места,SOFTWARE,LOW,False
Диспечерскиот центар без податоци веќе 2 часа – ИТНО!,NETWORK,CRITICAL,False
"Ticket creation blocked by server error, operators cannot log faults",SOFTWARE,HIGH,False
"Трансформаторот Т-208 дава искри и чад, пожарот може да избие секој момент!",ELECTRICAL,CRITICAL,True
"Нешто чудно кај мерачот, не знам дали е нормално",OTHER,MEDIUM,False
"Рѓа на столбот, само козметичка штета, нема ризик",MECHANICAL,LOW,False
"Жицата скинала по ветерот, виси многу ниско над Даме Груев – опасно!",MECHANICAL,CRITICAL,False
"По невремето синоќа, три столба скршени на Климент Охридски ИТНО!!!",MECHANICAL,HIGH,False
"Видов возило да паркира до трансформаторот, дали е ОК?",OTHER,LOW,False
Dropdown menu not closing automatically after selection,SOFTWARE,LOW,False
Трудница падна поради лоша тротоарска плоча до столб на Васил Ѓоргов ургентно!,OTHER,HIGH,False
"RTU на подстаницата ТС Бутел не одговара, нема статус",NETWORK,HIGH,False
"Пожар во трафо станицата кај Ново Лисиче, чад и пламен, евакуација!",ELECTRICAL,CRITICAL,True
"Пожар во трафо станицата кај Лисиче, чад и пламен, евакуација!",ELECTRICAL,CRITICAL,True
"Дрво паднало на жиците кај Нерези, струјата прекината",MECHANICAL,HIGH,False
"Контејнер паркиран блиску до ормарот, ограничен пристап",OTHER,LOW,False
"Мал проблем со осветлувањето во ходникот, не е итно",ELECTRICAL,LOW,False
Анкерот на столбот е ослабнат по последните дождови,MECHANICAL,MEDIUM,False
Transformer casing visibly cracked on Илинденска,MECHANICAL,MEDIUM,False
"Downed wire on Страшо Пинџур, possibly energized, people staying away помогнете!",MECHANICAL,HIGH,True
"Гранки растат блиску до жиците на Партизанска, може да е проблем",OTHER,MEDIUM,False
"Нема струја на цела ул. Орце Николов, над 80 станари пријавуваат",ELECTRICAL,HIGH,False
"Foreign object thrown onto power lines near Карпош, hanging dangerously please help!",OTHER,HIGH,False
"Мал проблем со осветлувањето во ходникот, не е итно",ELECTRICAL,LOW,False
Water inside cable cabinet after heavy rain on Борис Кидрич,OTHER,MEDIUM,False
"Something hanging from wire near Лисиче, looks like a bag",MECHANICAL,LOW,False
"Столб оштетен во сообраќајка на Мито Хаџивасилев, жиците нестабилни",MECHANICAL,HIGH,False
"Нешто изгледа различно кај ормарот на Максим Горки, не знам точно",OTHER,LOW,False
Повеќе паметни бројачи во Ново Лисиче не испраќаат податоци,NETWORK,HIGH,False
"Strange smell near electrical cabinet on Македонија, source unclear",OTHER,MEDIUM,False
Паметниот бројач еднаш пропуштил читање – еднократно,NETWORK,LOW,False
"Vehicle parked right next to transformer, is that a problem?",OTHER,LOW,False
"Cable looks slightly worn near Бардовци, just for records",MECHANICAL,LOW,False
Телеметријата со Т-512 го губи пакет еднаш на час,NETWORK,MEDIUM,False
"Сензорот R-305 еднаш пројавил грешка, потоа само",NETWORK,LOW,False
Minor translation error on the settings page,SOFTWARE,LOW,False
"Мала задоцнетост во телеметријата, не е итно",NETWORK,LOW,False
"Cable looks slightly worn near Горно Лисиче, just for records",MECHANICAL,LOW,False
"Загуба на пакети кај RTU на ТС Гази Баба, мрежата нестабилна",NETWORK,MEDIUM,False
Сензорот M-118 имаше неколку исклучувања синоќа,NETWORK,MEDIUM,False
"Нема струја во зградата на Кочо Рацин од 13:30ч, веќе 12 часа",ELECTRICAL,MEDIUM,False
"Old cable visible at Питу Гули bр.80, unsure if it is energized",OTHER,MEDIUM,True
"При прикачување фото на пријавата, апликацијата паѓа",SOFTWARE,MEDIUM,False
Напонот паѓа кога ке вклучам клима или шпорет,ELECTRICAL,MEDIUM,False
"Трансформаторот малку вибрира, не е нова состојба",MECHANICAL,LOW,False
"Not sure if this is an issue, reporting just in case – odd sound near Питу Гули",OTHER,LOW,False
"Слабо светло во скалите, жарулата треба замена",ELECTRICAL,LOW,False
"Telemetry врска изгубена со ТС Скопје Север, не можеме да мониторираме",NETWORK,HIGH,False
"Гранки растат блиску до жиците на Кочо Рацин, може да е проблем",OTHER,MEDIUM,False
"Кабелот малку влажен по дождот, само пријавувам",MECHANICAL,LOW,False
"Дрвото расте блиску до жицата кај Нерези, само информирам",MECHANICAL,LOW,False
"Гулаб направил гнездо во ормарот, дали е проблем?",OTHER,MEDIUM,False
"Power line very low over Никола Карев, trucks and buses cannot pass",MECHANICAL,HIGH,False
"Возило удрило во ограда на трафостаница, нема видлива штета",OTHER,MEDIUM,False
"Tree branch resting on wire near Аеродром, could snap in wind",MECHANICAL,MEDIUM,False
Не можам да се логирам во системот – вратата блокирана,SOFTWARE,HIGH,False
Entire Никола Карев street without electricity since since noon,ELECTRICAL,HIGH,False
"Трафостаница ТС Гази Баба испушта чад и искри, опасно! молам брзо!",ELECTRICAL,HIGH,True
"Неколку приклучоци мртви во станот, останатите работат",ELECTRICAL,MEDIUM,False
"Vandalism at substation near Визбегово, door forced open, equipment exposed emergency!",OTHER,HIGH,False
Комуникацијата со ТС Влае прекината по надградбата вечерва,NETWORK,HIGH,False
"Нема струја во куќата на Кочо Рацин од 03:30ч, веќе 6 часа",ELECTRICAL,MEDIUM,False
"Lights flickering all evening, cannot identify cause",ELECTRICAL,MEDIUM,False
"Meter sync delay, minor and intermittent",NETWORK,LOW,False
"Рѓа на столбот, само козметичка штета, нема ризик",MECHANICAL,LOW,False
"Столб се заканува да падне на училиштето, евакуирајте веднаш!",MECHANICAL,CRITICAL,False
Fault list only shows 10 rows regardless of filter settings,SOFTWARE,MEDIUM,False
"Hallway light not working in building, can wait",ELECTRICAL,LOW,False
"One flickering lamp on Страшо Пинџур, nothing urgent",ELECTRICAL,LOW,False
"По невремето синоќа, три столба скршени на Орце Николов молам брзо!",MECHANICAL,HIGH,False
Анкерот на столбот е ослабнат по последните дождови,MECHANICAL,MEDIUM,False
"Возило удрило во ограда на трафостаница, нема видлива штета",OTHER,MEDIUM,False
"Мирис на нешто, но слаб, можеби ништо",OTHER,LOW,False
"Диспечерскиот dashboard целосно не работи, не можеме да управуваме!",SOFTWARE,CRITICAL,False
"Smoke from electrical cabinet near Видое Смилевски, around 50 alarmed residents URGENT!",ELECTRICAL,HIGH,True
Бројачот за струја прави чуден звук кај нас,ELECTRICAL,MEDIUM,False
"Комуникациска грешка, сама се поправила, само пријавувам",NETWORK,LOW,False
Уличното светло не работи на ул. Македонија бр.86,ELECTRICAL,LOW,False
"Прекин кај 10 домаќинства на Максим Горки, средна зона",ELECTRICAL,MEDIUM,False
"Трафостаница ТС Аеродром испушта чад и искри, опасно! ИТНО!!!",ELECTRICAL,HIGH,True
Иконата за известување скриена зад друг елемент,SOFTWARE,LOW,False
Сензор S-201 испраќа грешни вредности – дефект верувам,NETWORK,HIGH,False
"Cable box door broken, wiring exposed inside",MECHANICAL,MEDIUM,False
"Едно копче е на погрешно место – UI проблем, не итно",SOFTWARE,LOW,False
Голем пожар кај трафостаницата Т-409 – пожарникарите се веќе на пат!,ELECTRICAL,CRITICAL,True
Multiple buildings in Лисиче lost power after last night's storm emergency!,ELECTRICAL,HIGH,False
Smart meter паметен бројач №8812 not reporting data for 5 days,NETWORK,MEDIUM,False
"Кабелот малку влажен по дождот, само пријавувам",MECHANICAL,LOW,False
"Old cable visible at Илинденска bр.107, unsure if it is energized",OTHER,MEDIUM,True
"Мирис на нешто, но слаб, можеби ништо",OTHER,LOW,False
